Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,gammaPmax,alphaIsc,betaVoc,alphaIpmax,betaVpmax,IPmax_ low,VPmax_ low,IPmax_ NOCT,VPmax_ NOCT,Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update
Gintung Energy,ASEC-185G6S,185 W Monocrystalline Module,UL 1703,185,164.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.33,29.9,7.63,24.28,45.1,-0.522,0.091,-0.357,0.058,-0.57,1.4,25.91,5.68,22.32,Rack,Flat Plate,0.989,1.319,1,0.195501905,,
Gintung Energy,ASEC-190G6M,190 W Polycrystalline Module,UL 1703,190,167.8,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.407,54,1,N,7.87,32.85,7.56,25.18,43.9,-0.572,0.183,-0.415,0.019,-0.588,1.44,25.63,6.2,23.38,Rack,Flat Plate,0.965,1.458,1,0.193927646,,
Gintung Energy,ASEC-190G6M68,190 W Polycrystalline Module,UL 1703,190,170,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.35,29.81,7.97,23.84,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.57,23.4,6.38,21.73,Rack,Flat Plate,0.989,1.319,1,0.193333329,,
Gintung Energy,ASEC-190G6S,190 W Monocrystalline Module,UL 1703,190,169.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.407,54,1,N,8.01,32.83,7.53,25.25,44.2,-0.514,0.136,-0.371,-0.022,-0.495,1.46,25.42,6.16,23.49,Rack,Flat Plate,0.965,1.458,1,0.195254032,,
Gintung Energy,ASEC-190G6S68,190 W Monocrystalline Module,UL 1703,190,170.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.51,29.71,8.05,23.61,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.6,23.65,6.46,21.56,Rack,Flat Plate,0.989,1.319,1,0.199143239,,
Gintung Energy,GTEC-190G6M68,190 W Polycrystalline Module,UL 1703,190,170,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.35,29.81,7.97,23.84,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.57,23.4,6.38,21.73,Rack,Flat Plate,0.989,1.319,1,0.193357895,,
Gintung Energy,GTEC-190G6S68,190 W Monocrystalline Module,UL 1703,190,170.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.51,29.71,8.05,23.61,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.6,23.65,6.46,21.56,Rack,Flat Plate,0.989,1.319,1,0.199157895,,
Gintung Energy,ASEC-195G6M,195 W Polycrystalline Module,UL 1703,195,172.4,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.407,54,1,N,8.11,32.94,7.63,25.59,43.9,-0.572,0.19,-0.42,0.29,-0.588,1.45,26.05,6.26,23.76,Rack,Flat Plate,0.965,1.458,1,0.193809927,,
Gintung Energy,ASEC-195G6M68,195 W Polycrystalline Module,UL 1703,195,174.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.48,29.87,8.16,23.9,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.61,23.46,6.53,21.78,Rack,Flat Plate,0.989,1.319,1,0.193352239,,
Gintung Energy,ASEC-195G6S,195 W Monocrystalline Module,UL 1703,195,174.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.407,54,1,N,8.21,32.95,7.71,25.31,44.2,-0.514,0.136,-0.371,-0.022,-0.495,1.49,25.48,6.3,23.55,Rack,Flat Plate,0.965,1.458,1,0.195258148,,
Gintung Energy,ASEC-195G6S68,195 W Monocrystalline Module,UL 1703,195,175,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.63,29.82,8.24,23.67,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.64,23.71,6.61,21.62,Rack,Flat Plate,0.989,1.319,1,0.199121502,,
Gintung Energy,GTEC-195G6M68,195 W Polycrystalline Module,UL 1703,195,174.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.48,29.87,8.16,23.9,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.61,23.46,6.53,21.78,Rack,Flat Plate,0.989,1.319,1,0.193695385,,
Gintung Energy,GTEC-195G6S68,195 W Monocrystalline Module,UL 1703,195,175,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.63,29.82,8.24,23.67,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.64,23.71,6.61,21.62,Rack,Flat Plate,0.989,1.319,1,0.199407179,,
Gintung Energy,ASEC-200G6M,200 W Polycrystalline Module,UL 1703,200,176.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.407,54,1,N,8.31,33.03,7.85,25.5,43.9,-0.572,0.19,-0.42,0.29,-0.588,1.49,25.95,6.44,23.68,Rack,Flat Plate,0.965,1.458,1,0.193729451,,
Gintung Energy,ASEC-200G6M68,200 W Polycrystalline Module,UL 1703,200,175.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.65,29.95,8.31,24.07,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.73,24.09,6.7,21.64,Rack,Flat Plate,0.989,1.319,1,0.207882032,,
Gintung Energy,ASEC-200G6S,200 W Monocrystalline Module,UL 1703,200,179,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.407,54,1,N,8.24,33.53,7.89,25.38,44.2,-0.514,0.136,-0.371,-0.022,-0.495,1.53,25.55,6.45,23.62,Rack,Flat Plate,0.965,1.458,1,0.195360104,,
Gintung Energy,ASEC-200G6S68,200 W Monocrystalline Module,UL 1703,200,175.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.77,29.93,8.39,23.84,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.73,23.73,6.76,21.16,Rack,Flat Plate,0.989,1.319,1,0.20557971,,
Gintung Energy,GTEC-200G6M68,200 W Polycrystalline Module,UL 1703,200,175.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.65,29.95,8.31,24.07,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.73,24.09,6.7,21.64,Rack,Flat Plate,0.989,1.319,1,0.2083785,,
Gintung Energy,GTEC-200G6S68,200 W Monocrystalline Module,UL 1703,200,175.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.77,29.93,8.39,23.84,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.73,23.73,6.76,21.16,Rack,Flat Plate,0.989,1.319,1,0.2052645,,
Gintung Energy,ASEC-205G6M,205 W Polycrystalline Module,UL 1703,205,181.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.407,54,1,N,8.61,33.58,7.93,25.87,43.9,-0.572,0.19,-0.42,0.29,-0.588,1.51,26.33,6.5,24.02,Rack,Flat Plate,0.965,1.458,1,0.193700866,,
Gintung Energy,ASEC-205G6M68,205 W Polycrystalline Module,UL 1703,205,180.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.83,30.03,8.46,24.23,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.76,24.25,6.82,21.78,Rack,Flat Plate,0.989,1.319,1,0.207845082,,
Gintung Energy,ASEC-205G6S,205 W Monocrystalline Module,UL 1703,205,183.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.407,54,1,N,8.32,33.64,7.93,25.87,44.2,-0.514,0.136,-0.371,-0.022,-0.495,1.54,26.04,6.48,24.07,Rack,Flat Plate,0.965,1.458,1,0.195259876,,
Gintung Energy,ASEC-205G6S68,205 W Monocrystalline Module,UL 1703,205,179.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.91,30.04,8.54,24,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.76,23.89,6.88,21.3,Rack,Flat Plate,0.989,1.319,1,0.205521511,,
Gintung Energy,GTEC-205G6M68,205 W Polycrystalline Module,UL 1703,205,180.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.83,30.03,8.46,24.23,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.76,24.25,6.82,21.78,Rack,Flat Plate,0.989,1.319,1,0.208195122,,
Gintung Energy,GTEC-205G6S68,205 W Monocrystalline Module,UL 1703,205,179.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,8.91,30.04,8.54,24,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.76,23.89,6.88,21.3,Rack,Flat Plate,0.989,1.319,1,0.20510439,,
Gintung Energy,ASEC-210G6M,210 W Polycrystalline Module,UL 1703,210,186.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.407,54,1,N,8.65,33.61,8.02,26.19,43.9,-0.572,0.19,-0.42,0.29,-0.588,1.53,26.66,6.58,24.32,Rack,Flat Plate,0.965,1.458,1,0.193600457,,
Gintung Energy,ASEC-210G6M68,210 W Polycrystalline Module,UL 1703,210,185,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.99,30.14,8.63,24.33,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.79,24.35,6.96,21.87,Rack,Flat Plate,0.989,1.319,1,0.207827707,,
Gintung Energy,ASEC-210G6S,210 W Monocrystalline Module,UL 1703,210,188.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.407,54,1,N,8.35,33.68,7.98,26.33,44.2,-0.514,0.136,-0.371,-0.022,-0.495,1.55,26.5,6.53,24.5,Rack,Flat Plate,0.965,1.458,1,0.195223327,,
Gintung Energy,ASEC-210G6S68,210 W Monocrystalline Module,UL 1703,210,184.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.05,30.14,8.71,24.11,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.8,24,7.02,21.4,Rack,Flat Plate,0.989,1.319,1,0.205559761,,
Gintung Energy,GTEC-210G6M68,210 W Polycrystalline Module,UL 1703,210,185,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,8.99,30.14,8.63,24.33,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.79,24.35,6.96,21.87,Rack,Flat Plate,0.989,1.319,1,0.207554762,,
Gintung Energy,GTEC-210G6S68,210 W Monocrystalline Module,UL 1703,210,184.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.05,30.14,8.71,24.11,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.8,24,7.02,21.4,Rack,Flat Plate,0.989,1.319,1,0.205714286,,
Gintung Energy,ASEC-215G6M,215 W Polycrystalline Module,UL 1703,215,192,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,7.96,36.39,7.41,29.02,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.47,28.77,6.01,26.36,Rack,Flat Plate,0.989,1.629,1,0.196805095,,
Gintung Energy,ASEC-215G6M68,215 W Polycrystalline Module,UL 1703,215,189.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,9.14,30.27,8.79,24.46,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.83,24.48,7.09,21.99,Rack,Flat Plate,0.989,1.319,1,0.207862767,,
Gintung Energy,ASEC-215G6M69,215 W Polycrystalline Module,UL 1703,215,192.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.71,33.69,8.08,26.61,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.63,25.6,6.46,24.24,Rack,Flat Plate,0.989,1.481,1,0.193901712,,
Gintung Energy,ASEC-215G6S,215 W Monocrystalline Module,UL 1703,215,192.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.07,36.4,7.45,28.88,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.52,28.83,5.96,26.48,Rack,Flat Plate,0.989,1.629,1,0.203619082,,
Gintung Energy,ASEC-215G6S68,215 W Monocrystalline Module,UL 1703,215,188.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.18,30.26,8.87,24.24,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.83,24.13,7.15,21.52,Rack,Flat Plate,0.989,1.319,1,0.205570035,,
Gintung Energy,ASEC-215G6S69,215 W Monocrystalline Module,UL 1703,215,192.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.47,33.77,8.09,26.58,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.63,26.19,6.5,24.21,Rack,Flat Plate,0.989,1.481,1,0.198346686,,
Gintung Energy,GTEC-215G6M68,215 W Polycrystalline Module,UL 1703,215,189.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,9.14,30.27,8.79,24.46,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.83,24.48,7.09,21.99,Rack,Flat Plate,0.989,1.319,1,0.208364651,,
Gintung Energy,GTEC-215G6M69,215 W Polycrystalline Module,UL 1703,215,192.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.71,33.69,8.08,26.61,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.63,25.6,6.46,24.24,Rack,Flat Plate,0.989,1.481,1,0.194083721,,
Gintung Energy,GTEC-215G6S68,215 W Monocrystalline Module,UL 1703,215,188.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.18,30.26,8.87,24.24,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.83,24.13,7.15,21.52,Rack,Flat Plate,0.989,1.319,1,0.205385581,,
Gintung Energy,GTEC-215G6S69,215 W Monocrystalline Module,UL 1703,215,192.9,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.47,33.77,8.09,26.58,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.63,26.19,6.5,24.21,Rack,Flat Plate,0.989,1.481,1,0.198556744,,
Gintung Energy,ASEC-220G6M,220 W Polycrystalline Module,UL 1703,220,196.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.1,36.57,7.56,29.11,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.5,28.86,6.13,26.44,Rack,Flat Plate,0.989,1.629,1,0.196834173,,
Gintung Energy,ASEC-220G6M68,220 W Polycrystalline Module,UL 1703,220,194.2,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,9.29,30.4,8.95,24.58,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.86,24.6,7.22,22.1,Rack,Flat Plate,0.989,1.319,1,0.207850976,,
Gintung Energy,ASEC-220G6M69,220 W Polycrystalline Module,UL 1703,220,197.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.75,33.75,8.24,26.71,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.66,25.7,6.59,24.33,Rack,Flat Plate,0.989,1.481,1,0.193973449,,
Gintung Energy,ASEC-220G6S,220 W Monocrystalline Module,UL 1703,220,197,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.21,36.53,7.59,28.99,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.55,28.94,6.07,26.58,Rack,Flat Plate,0.989,1.629,1,0.203502985,,
Gintung Energy,ASEC-220G6S68,220 W Monocrystalline Module,UL 1703,220,193.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.32,30.34,9.03,24.36,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.86,24.25,7.28,21.62,Rack,Flat Plate,0.989,1.319,1,0.205534337,,
Gintung Energy,ASEC-220G6S69,220 W Monocrystalline Module,UL 1703,220,197.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.61,33.86,8.25,26.67,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.66,26.28,6.63,24.29,Rack,Flat Plate,0.989,1.481,1,0.198341774,,
Gintung Energy,GTEC-220G6M68,220 W Polycrystalline Module,UL 1703,220,194.2,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.304,48,1,N,9.29,30.4,8.95,24.58,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.86,24.6,7.22,22.1,Rack,Flat Plate,0.989,1.319,1,0.207981818,,
Gintung Energy,GTEC-220G6M69,220 W Polycrystalline Module,UL 1703,220,197.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.75,33.75,8.24,26.71,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.66,25.7,6.59,24.33,Rack,Flat Plate,0.989,1.481,1,0.193918182,,
Gintung Energy,GTEC-220G6S68,220 W Monocrystalline Module,UL 1703,220,193.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.304,48,1,N,9.32,30.34,9.03,24.36,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.86,24.25,7.28,21.62,Rack,Flat Plate,0.989,1.319,1,0.205022727,,
Gintung Energy,GTEC-220G6S69,220 W Monocrystalline Module,UL 1703,220,197.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.61,33.86,8.25,26.67,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.66,26.28,6.63,24.29,Rack,Flat Plate,0.989,1.481,1,0.198294545,,
Gintung Energy,ASEC-225G6M,225 W Polycrystalline Module,UL 1703,225,201.1,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.21,36.75,7.71,29.19,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.53,28.94,6.25,26.51,Rack,Flat Plate,0.989,1.629,1,0.196818146,,
Gintung Energy,ASEC-225G6M69,225 W Polycrystalline Module,UL 1703,225,197.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.81,33.83,8.37,26.88,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.74,26.6,6.75,24.13,Rack,Flat Plate,0.989,1.481,1,0.205754903,,
Gintung Energy,ASEC-225G6S,225 W Monocrystalline Module,UL 1703,225,201.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.33,36.65,7.74,29.08,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.58,29.03,6.19,26.66,Rack,Flat Plate,0.989,1.629,1,0.203543069,,
Gintung Energy,ASEC-225G6S69,225 W Monocrystalline Module,UL 1703,225,197.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.75,33.92,8.38,26.85,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.74,26.56,6.77,23.78,Rack,Flat Plate,0.989,1.481,1,0.205006416,,
Gintung Energy,GTEC-225G6M69,225 W Polycrystalline Module,UL 1703,225,197.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.81,33.83,8.37,26.88,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.74,26.6,6.75,24.13,Rack,Flat Plate,0.989,1.481,1,0.205706667,,
Gintung Energy,GTEC-225G6S69,225 W Monocrystalline Module,UL 1703,225,197.1,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.75,33.92,8.38,26.85,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.74,26.56,6.77,23.78,Rack,Flat Plate,0.989,1.481,1,0.205397333,,
Gintung Energy,ASEC-230G6M,230 W Polycrystalline Module,UL 1703,230,205.7,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.32,36.87,7.85,29.3,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.55,28.77,6.27,26.89,Rack,Flat Plate,0.989,1.629,1,0.194197455,,
Gintung Energy,ASEC-230G6M69,230 W Polycrystalline Module,UL 1703,230,202.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.92,33.93,8.51,27.03,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.77,26.74,6.86,24.26,Rack,Flat Plate,0.989,1.481,1,0.205790706,,
Gintung Energy,ASEC-230G6S,230 W Monocrystalline Module,UL 1703,230,206.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.46,36.75,7.88,29.19,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.61,28.29,6.38,26.57,Rack,Flat Plate,0.989,1.629,1,0.197514201,,
Gintung Energy,ASEC-230G6S69,230 W Monocrystalline Module,UL 1703,230,201.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.88,34.08,8.52,27,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.77,26.71,6.89,23.91,Rack,Flat Plate,0.989,1.481,1,0.205039336,,
Gintung Energy,GTEC-230G6M69,230 W Polycrystalline Module,UL 1703,230,202.5,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,8.92,33.93,8.51,27.03,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.77,26.74,6.86,24.26,Rack,Flat Plate,0.989,1.481,1,0.205781739,,
Gintung Energy,GTEC-230G6S69,230 W Monocrystalline Module,UL 1703,230,201.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,8.88,34.08,8.52,27,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.77,26.71,6.89,23.91,Rack,Flat Plate,0.989,1.481,1,0.20555087,,
Gintung Energy,ASEC-235G6M,235 W Polycrystalline Module,UL 1703,235,210.3,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.45,37.06,8.01,29.34,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.58,28.81,6.4,26.92,Rack,Flat Plate,0.989,1.629,1,0.194204306,,
Gintung Energy,ASEC-235G6M69,235 W Polycrystalline Module,UL 1703,235,207,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,9.02,34.06,8.64,27.2,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.8,26.91,6.97,24.41,Rack,Flat Plate,0.989,1.481,1,0.205775077,,
Gintung Energy,ASEC-235G6S,235 W Monocrystalline Module,UL 1703,235,210.8,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.58,36.88,8.03,29.27,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.64,28.37,6.5,26.64,Rack,Flat Plate,0.989,1.629,1,0.197531452,,
Gintung Energy,ASEC-235G6S69,235 W Monocrystalline Module,UL 1703,235,206.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,9,34.13,8.65,27.17,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.79,26.88,6.99,24.06,Rack,Flat Plate,0.989,1.481,1,0.205021566,,
Gintung Energy,GTEC-235G6M69,235 W Polycrystalline Module,UL 1703,235,207,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,9.02,34.06,8.64,27.2,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.8,26.91,6.97,24.41,Rack,Flat Plate,0.989,1.481,1,0.206119149,,
Gintung Energy,GTEC-235G6S69,235 W Monocrystalline Module,UL 1703,235,206.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,9,34.13,8.65,27.17,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.79,26.88,6.99,24.06,Rack,Flat Plate,0.989,1.481,1,0.204745532,,
Gintung Energy,ASEC-240G6M69,240 W Polycrystalline Module,UL 1703,240,211.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,9.14,34.19,8.77,27.37,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.82,27.08,7.07,24.57,Rack,Flat Plate,0.989,1.481,1,0.205797994,,
Gintung Energy,ASEC-240G6M6A,240 W Polycrystalline Module,UL 1703,240,214.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.55,37.18,8.16,29.42,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.66,29.37,6.53,26.97,Rack,Flat Plate,0.989,1.629,1,0.203528419,,
Gintung Energy,ASEC-240G6S69,240 W Monocrystalline Module,UL 1703,240,210.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,9.14,34.19,8.78,27.33,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.82,27.04,7.1,24.21,Rack,Flat Plate,0.989,1.481,1,0.204967295,,
Gintung Energy,ASEC-240G6S6A,240 W Monocrystalline Module,UL 1703,240,215.4,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.611,60,1,N,8.68,37.01,8.17,29.38,45.8,-0.4684,0.0423,-0.3397,0.0115,-0.4125,1.67,29.33,6.54,26.94,Rack,Flat Plate,0.989,1.629,1,0.203500781,,
Gintung Energy,GTEC-240G6M69,240 W Polycrystalline Module,UL 1703,240,211.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.465,54,1,N,9.14,34.19,8.77,27.37,50,-0.4607,0.06581,-0.3427,-0.003265,-0.456,1.82,27.08,7.07,24.57,Rack,Flat Plate,0.989,1.481,1,0.205356667,,
Gintung Energy,GTEC-240G6M6A,240 W Polycrystalline Module,UL 1703,240,214.9,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.611,60,1,N,8.55,37.18,8.16,29.42,46.1,-0.4702,0.0214,-0.3299,0.0102,-0.4233,1.66,29.37,6.53,26.97,Rack,Flat Plate,0.989,1.629,1,0.2031425,,
Gintung Energy,GTEC-240G6S69,240 W Monocrystalline Module,UL 1703,240,210.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.465,54,1,N,9.14,34.19,8.78,27.33,51.4,-0.4502,0.0729,-0.343,0.005458,-0.4549,1.82,27.04,7.1,24.21,Rack,Flat Plate,0.989,1.481,1,0.205053333,,
