Name,Manufacturer,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,Version,Date
Units,,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,
[0],lib_manufacturer,cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,,
Topsun TS-M420JA1,Topsun,Multi-c-Si,0,419.995400,376.300000,2.564000,1.96,1.308,96,8.910000,62.060000,8.410000,49.940000,0.004687,-0.192014,50,2.451075,8.914664,0.000000,0.575800,1099.952997,5.508442,-0.405000,N,SAM 2020.11.29 r2,12/1/2021
Topsun TS-S420SA1,Topsun,Mono-c-Si,0,420.052600,373.200000,2.564000,1.96,1.308,96,9.120000,60.650000,8.620000,48.730000,0.000952,-0.220517,48.300000,2.450821,9.122179,0.000000,0.545712,2283.750881,-5.552668,-0.465540,N,SAM 2020.11.29 r2,12/1/2021
Topsun TS-S420TA1,Topsun,Mono-c-Si,0,420.052600,365.400000,2.564000,1.96,1.308,96,9.120000,60.650000,8.620000,48.730000,0.004560,-0.218340,51.400000,2.603352,9.219894,0.000000,0.506956,537.123931,6.646823,-0.480000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-160PEG40.07,Trina Solar,Multi-c-Si,0,160,140.700000,1.645000,1.658,0.992,72,8.580000,24.900000,8,20,0.002557,-0.089740,46.700000,1.059565,8.591791,0.000000,0.227060,165.227843,4.992875,-0.488200,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-165DA01,Trina Solar,Mono-c-Si,0,165.540000,149.200000,1.262000,1.574,0.802,72,5.200000,43.200000,4.650000,35.600000,0.001560,-0.138240,45.500000,1.795165,5.221629,0.000000,0.464586,111.692976,12.733428,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-165PEG40.07,Trina Solar,Multi-c-Si,0,165.034000,145.100000,1.645000,1.658,0.992,72,8.720000,25.100000,8.170000,20.200000,0.002599,-0.090460,46.700000,1.066266,8.727727,0.000000,0.219717,247.946831,4.685906,-0.488200,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-170D,Trina Solar,Mono-c-Si,0,170.408000,152.100000,1.279000,1.581,0.809,72,5.250000,43.600000,4.760000,35.800000,0.002205,-0.158399,45.200000,1.925674,5.265072,0.000000,0.443379,154.446142,11.278675,-0.482000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-170DA01,Trina Solar,Mono-c-Si,0,170.408000,153.800000,1.262000,1.574,0.802,72,5.250000,43.600000,4.760000,35.800000,0.001575,-0.139520,45.500000,1.791965,5.268341,0.000000,0.502599,143.865108,10.444946,-0.430000,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-170DA03,Trina Solar,Mono-c-Si,0,170.400000,150.500000,1.305000,1.316,0.992,48,7.720000,29.200000,7.100000,24,0.003028,-0.107149,45.800000,1.308853,7.733770,0.000000,0.192221,107.766901,13.317529,-0.508190,N,SAM 2020.11.29 r2,12/1/2021
Trina Solar TSM-170PA03,Trina Solar,Multi-c-Si,0,170.400000,148.700000,1.305000,1.316,0.992,48,7.720000,29.200000,7.100000,24,0.005629,-0.110061,46.300000,1.389352,7.730872,0.000000,0.169190,120.141314,22.281969,-0.541667,N,SAM 2020.11.29 r2,12/1/2021
